0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,TEXT
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,AFTER takeoff ON runway _ A loudnoise WAS hear come FROM FRONT AREA OF aircraft.FOR A WHILE I AND CREW THOUGHT IT WAS THE AIR drive generate THAT deploy FROM right NOSE OF aircraft.UPON FURTHER troubleshoot FOUND THAT THE AIR drive generate COULD NOT HAVE deploy DUE TO ABSENCE OF icon AND message ON THE engineindicationandcrewalertingsystem system.WE immediate return TO THE airport FOR AN UNEVENTFUL land.FURTHER examine AT THE GATE show THE OXYGEN accesspanel pop OPEN AFTER takeoff cause THE NOISE.PRIOR TO flight THE normalpreflight show NO AJAR OR OPEN panel ON THE aircraft.moderateturbulence WAS encounter AFTER takeoffdue TO STRONG crosswind AND lowlevelwindshearadvisories IN EFFECT.
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,taxi OFF THE parkingramp THE brake system fail TO STOP THE aircraft.LATER determine TO BE A BAD TRUNION SWITCH IN THE right maingear NEITHER pilot HAD ani control OVER THE aircraft speed AND DUE TO frequencycongestion WE COULD NOT ALERT ground OF OUR problem.BECAUSE OF THIS WE WERE UNABLE TO HOLD SHORT OF THE control PORTION OF THE airport.THE INCURSION ON THE taxiway DID NOT PUT US IN DANGER OF collide WE DID BLOCK AN intersect AFTER WE coast TO A STOP.ground WAS immediate notify AND COMPANY WAS call TO GET A TUG AND BRING US BACK TO THE RAMP.I HAVE NEVER see train TO DEAL WITH brakefailure ON THE ground IN AN aircraft BUT I SURE WOULD LIKE TO.
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,airworthinessdirective _ DUE EACH _ hour TO GREASE BLOWER bear.inspect TAILROTOR DRIVE SHAFT THOMAS COUPLINGS AND check TORQUE ON TAILROTOR GEARBOX MOUNT student nut.inspect DUE aircraft totaltime _ HAS airworthinessdirective sign OFF AT _ hour inspect DUE AT aircraft totaltime _ accomplish AT _.date occur number _ september _ september _.NO OTHER occur note TO THIS DATE MAY _.remind mechanic THAT airworthinessdirective MUST BE accomplish AT OR BEFORE hi DUE AND NO OVERFLY allow.mechanic realize IT WAS AN OVERSIGHT ON hi PART AND IS WELL AWARE OF NO OVERFLY IS allow.
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,ON descend clear TO _ feet.captain SET _ feet IN alert.I readback _ feet.go THROUGH _ feet WE WERE TOLD TO climb BACK TO _ feet.approach ask US TO CALL THEM ON TELEPHONE.TAPE show WE HAD BEEN clear TO _ feet.ALSO show WE readback _ feet.control WAS decertify.THIS happen AT THE END OF A longday _ hour.
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,AN UNUSUAL ODOR WAS note IN THE COCKPIT BY flightcrew.A FEW minute LATER THE flightattendant notify THE CREW THAT SHE notice SMOKE IN THE CABIN.THE captain THEN verify visual THAT THERE WAS SMOKE IN THE CABIN.airtrafficcontrol WAS notify of the situate AND THAT AN IMMEDIATE land WAS NECESSARY.THE aircraft WAS land AND passenger WERE evacuate FROM aircraft.THEY WERE THEN buss TO TERMINAL.
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,ON preflight IN msp airport FOUND firstofficer south radiomagneticindicator OUT OF SYNCH AND correct IT.flight WAS NORMAL TO LSE.ON preflight THE nextmorning FOUND radiomagneticindicator OUT OF SYNCH AGAIN.look THROUGH LOGBOOK FOR HISTORY OF problem AND FOUND openwriteup THAT HAD BEEN place ON WRONG PAGE.notify maintain control.cancel flight AND ferry aircraft TO dtw airport.
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IN ORDER TO EXPEDITE departure AND ENHANCE THE FLOW OF traffic tower IS permit TO ASSIGN A vectorheading TO turbopropaircraft WHICH DIVERGES FROM THE head ON THE DRK IDP.AT A POINT _ mile east OF THE airport THE IDP head CONVERGES WITH THE allow vectorheading.IN THIS CASE THE _ assignedheading _ degree FROM runway converge ON THE _.DUE TO TERRAIN MVA requirement turn WERE NOT initial us.visualseparation WAS provide BY THE _ pilot WHICH prevent A LOSS OF STANDARD instrumentflightrulesseparation.
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JUST PRIOR TO depart OF aircraft flight XXX RAMP supervise CAME INTO COCKPIT WITH FORM FOR captain TO SIGN.IT WAS AN aircraft FORM WITH OUR aircraft AND flightnumber proper MADE OUT state WE WERE carry A BOX WITH A RADIOACTIVE SUBSTANCE AND IT HAD BEEN place IN THE REAR CARGO.I READ THE instruct ON THE aircraft FORM sign IT AND follow THE direct ON THE FORM DISPOSITION.on PART WENT TO THE rampperson AND THE OTHER WAS TO BE PUT IN THE flight envelop TO BE retain FOR _ day.IT DID NOT DAWN ON ME THAT THIS mirror procedure DID NOT APPLY TO THE aircraft aircraft UNTIL OUR land IN BOSTON realize THAT WE HAD carry unauthorized hazardousmaterial ON A shuttleaircraft.WE AT THE SHUTTLE HAVE BEEN give A GREAT NUMBER OF operate change IN form AND procedure WITH NO FORMAL train.IT come IN bulletin OR revise WITH NO explain EXCEPT THAT WE ARE attempt TO MIRROR AS MANY procedure AS POSSIBLE.IT IS A dangeroussituation TO HAVE standard THAT ARE CONTRARY TO EACH OTHER AT THE SAME AIRLINE.IT IS EVEN WORSE WHEN THEY ARE HAPHAZARDLY implement AND IS VERY confuse TO THE AVERAGE crewmember.ALSO lead TO MY confuse IS THAT I HAD BEEN schedule FOR _ SCHOOL ON august _ THAT WAS subsequent POSTPONED.I HAD BEEN study aircraft procedure IN prepare FOR THE transit AND IN THAT MATERIAL THIS WAS A properprocedure.THE responsible TO CARRY THE BOX WAS sole MINE.I MADE A MISTAKE BUT I DO FEEL strong THAT I WAS setup BY THE circumstance AND THAT I AM IN THE MIDDLE OF A transit OF operate certificate WITHOUT clear direct.
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,selectivecalling FROM sfo airport commercialradio.THEY state airtrafficcontrol clear aircraft X TO _ _ _ _ TOU.I readback exact THAT TO commercialradio.PRIOR TO THAT WE WERE go TO ORNAI.WE THOUGHT THAT clearance mean TO PROCEED DIRECT TO _ _ WHICH WE DID.approximate _ minute LATER WE check IN WITH VANCOUVER center WITH positionreport.HE ask OUR clearance WHICH WE readback TO HIM.HE indicate WE WERE clear THAT rout AFTER ORNAI.control state THERE WAS NO trafficconflict OR separate problem SO THERE WAS NO problem WITH HIM.WE proceed ON WITH NO FURTHER problem.supplementalinformation FROM airborneclassificationnumber _ THE RADIO WAS VERY broke AND WE ask THAT THE clearance BE repeat.WE repeat THE clearanceback AND ask FOR confirm.THEY say ROGER.THE CULPRIT HERE WAS THE extreme POOR highfrequency connect.
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,aircraft seem TO ACCELERATE normal.AT approximate _ feet DOWN THE runway THE aircraft stop accelerate AROUND _ knotsindicatedairspeed.AT approximate _ feet WITH ONLY _ feet OR LESS remain THE aircraft WAS ONLY indicate _ knot.AT THAT POINT I elect TO ABORT SINCE OUR v1speed WAS _ knot.WE check OUR number AND TOOK OFF ON oppose runway WITHOUT FURTHER INCIDENT.WE SUSPECT UNDETECTED WINDSHEAR wind WERE report AS LIGHT AND vary thunderstorm IN AREA.SUGGEST WINDSHEAR DATA BE check.
